"","state","statefp"
"1","Arizona",2
"2","Colorado",5
"3","Connecticut",6
"4","District of Columbia",8
"5","Georgia",10
"6","Idaho",11
"7","Illinois",12
"8","Indiana",13
"9","Kansas",15
"10","Kentucky",16
"11","Maryland",19
"12","Minnesota",22
"13","Mississippi",23
"14","Montana",25
"15","Nebraska",26
"16","New Hampshire",28
"17","New Mexico",30
"18","North Carolina",32
"19","Oklahoma",35
"20","Pennsylvania",37
"21","South Carolina",39
"22","South Dakota",40
"23","Utah",43
"24","Vermont",44
"25","Wisconsin",48
"26","Wyoming",49
"27","Oregon",36
"28","West Virginia",47
"29","Alabama",1
"30","Arkansas",3
"31","California",4
"32","Delaware",7
"33","Florida",9
"34","Iowa",14
"35","Louisiana",17
"36","Maine",18
"37","Massachusetts",20
"38","Michigan",21
"39","Missouri",24
"40","Nevada",27
"41","New Jersey",29
"42","New York",31
"43","North Dakota",33
"44","Ohio",34
"45","Rhode Island",38
"46","Tennessee",41
"47","Texas",42
"48","Virginia",45
"49","Washington",46
